GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races
1400000US48453002313,48453002313,"Census Tract 23.13, Travis County, Texas",2959,1669,276,6,295,5,627,81
1400000US48453002314,48453002314,"Census Tract 23.14, Travis County, Texas",3838,1967,484,32,343,2,843,167
1400000US48453002315,48453002315,"Census Tract 23.15, Travis County, Texas",3239,1642,244,35,237,8,908,165
1400000US48453002316,48453002316,"Census Tract 23.16, Travis County, Texas",4533,2214,347,47,368,9,1353,195
1400000US48453002402,48453002402,"Census Tract 24.02, Travis County, Texas",5668,3326,429,64,55,6,1593,195
1400000US48453002403,48453002403,"Census Tract 24.03, Travis County, Texas",2617,1440,122,31,21,1,911,91
1400000US48453002407,48453002407,"Census Tract 24.07, Travis County, Texas",2365,2002,39,6,19,1,227,71
1400000US48453002409,48453002409,"Census Tract 24.09, Travis County, Texas",3687,2231,322,23,45,1,876,189
1400000US48453002410,48453002410,"Census Tract 24.10, Travis County, Texas",3936,2252,277,38,99,8,1096,166
1400000US48453002411,48453002411,"Census Tract 24.11, Travis County, Texas",5690,2386,753,45,51,5,2216,234
1400000US48453002412,48453002412,"Census Tract 24.12, Travis County, Texas",5745,2113,613,66,76,7,2713,157
1400000US48453002413,48453002413,"Census Tract 24.13, Travis County, Texas",3352,1419,562,27,20,1,1155,168
1400000US48453002416,48453002416,"Census Tract 24.16, Travis County, Texas",9365,5948,558,129,217,5,2230,278
1400000US48453002417,48453002417,"Census Tract 24.17, Travis County, Texas",7814,4494,793,97,58,8,2143,221
1400000US48453002418,48453002418,"Census Tract 24.18, Travis County, Texas",4869,3694,342,19,48,2,606,158
1400000US48453002419,48453002419,"Census Tract 24.19, Travis County, Texas",2965,2095,272,16,136,5,358,83
1400000US48453002420,48453002420,"Census Tract 24.20, Travis County, Texas",9543,4300,916,92,121,11,3774,329
1400000US48453002421,48453002421,"Census Tract 24.21, Travis County, Texas",3755,2538,239,18,100,1,746,113
1400000US48453002422,48453002422,"Census Tract 24.22, Travis County, Texas",5161,3153,468,34,119,6,1202,179
1400000US48453002423,48453002423,"Census Tract 24.23, Travis County, Texas",5383,3590,369,41,217,0,971,195
1400000US48453002424,48453002424,"Census Tract 24.24, Travis County, Texas",3626,2341,231,42,28,3,847,134
1400000US48491020101,48491020101,"Census Tract 201.01, Williamson County, Texas",8715,8479,51,11,37,4,67,66
1400000US48491020102,48491020102,"Census Tract 201.02, Williamson County, Texas",6158,5235,240,28,34,4,479,138
1400000US48491020103,48491020103,"Census Tract 201.03, Williamson County, Texas",5041,4800,46,21,41,0,80,53
1400000US48491020104,48491020104,"Census Tract 201.04, Williamson County, Texas",4154,3913,35,12,15,1,132,46
1400000US48491020200,48491020200,"Census Tract 202, Williamson County, Texas",7982,7474,53,46,14,1,321,73
1400000US48491020301,48491020301,"Census Tract 203.01, Williamson County, Texas",3186,2885,17,27,12,2,186,57
1400000US48491020302,48491020302,"Census Tract 203.02, Williamson County, Texas",2298,2056,60,11,20,4,93,54
1400000US48491020303,48491020303,"Census Tract 203.03, Williamson County, Texas",3828,3099,118,52,14,6,445,94
1400000US48491020305,48491020305,"Census Tract 203.05, Williamson County, Texas",3757,3382,88,19,22,0,173,73
1400000US48491020306,48491020306,"Census Tract 203.06, Williamson County, Texas",9653,8171,401,39,158,7,655,222
1400000US48491020307,48491020307,"Census Tract 203.07, Williamson County, Texas",11162,9763,343,33,353,10,428,232
1400000US48491020308,48491020308,"Census Tract 203.08, Williamson County, Texas",8625,7460,296,16,317,7,369,160
1400000US48491020309,48491020309,"Census Tract 203.09, Williamson County, Texas",7510,6628,190,28,134,5,378,147
1400000US48491020310,48491020310,"Census Tract 203.10, Williamson County, Texas",2608,2433,52,8,26,1,54,34
1400000US48491020402,48491020402,"Census Tract 204.02, Williamson County, Texas",6803,5775,320,28,193,3,318,166
1400000US48491020403,48491020403,"Census Tract 204.03, Williamson County, Texas",1612,1359,74,7,89,0,35,48
1400000US48491020404,48491020404,"Census Tract 204.04, Williamson County, Texas",3871,3377,93,20,127,3,140,111
1400000US48491020405,48491020405,"Census Tract 204.05, Williamson County, Texas",5671,4638,283,29,236,21,268,196
1400000US48491020406,48491020406,"Census Tract 204.06, Williamson County, Texas",4233,3393,236,19,194,7,277,107
1400000US48491020407,48491020407,"Census Tract 204.07, Williamson County, Texas",11199,8694,542,34,1259,2,418,250
1400000US48491020501,48491020501,"Census Tract 205.01, Williamson County, Texas",9610,7857,410,18,748,6,353,218
1400000US48491020502,48491020502,"Census Tract 205.02, Williamson County, Texas",9029,7467,392,32,689,10,284,155
1400000US48491020503,48491020503,"Census Tract 205.03, Williamson County, Texas",4789,4384,109,18,81,2,130,65
1400000US48491020504,48491020504,"Census Tract 205.04, Williamson County, Texas",5317,3779,366,35,146,9,836,146
1400000US48491020601,48491020601,"Census Tract 206.01, Williamson County, Texas",6843,5867,346,16,170,10,306,128
1400000US48491020602,48491020602,"Census Tract 206.02, Williamson County, Texas",5208,4054,338,12,126,2,578,98
1400000US48491020701,48491020701,"Census Tract 207.01, Williamson County, Texas",2555,1611,186,29,34,0,632,63
1400000US48491020703,48491020703,"Census Tract 207.03, Williamson County, Texas",7352,5029,1032,35,280,5,760,211
1400000US48491020704,48491020704,"Census Tract 207.04, Williamson County, Texas",5322,4055,453,39,86,13,507,169
1400000US48491020705,48491020705,"Census Tract 207.05, Williamson County, Texas",6305,4981,497,25,236,9,371,186
1400000US48491020801,48491020801,"Census Tract 208.01, Williamson County, Texas",6410,5477,201,37,18,4,534,139
1400000US48491020802,48491020802,"Census Tract 208.02, Williamson County, Texas",4760,4293,120,16,101,5,160,65
1400000US48491020900,48491020900,"Census Tract 209, Williamson County, Texas",3983,3608,79,19,1,1,221,54
1400000US48491021000,48491021000,"Census Tract 210, Williamson County, Texas",3564,1492,1243,15,3,0,729,82
1400000US48491021100,48491021100,"Census Tract 211, Williamson County, Texas",2825,1900,199,18,16,6,610,76
