GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10
Id,Id2,Geography,Total:,Built 1999 to March 2000,Built 1995 to 1998,Built 1990 to 1994,Built 1980 to 1989,Built 1970 to 1979,Built 1960 to 1969,Built 1950 to 1959,Built 1940 to 1949,Built 1939 or earlier
1400000US48453001742,48453001742,"Census Tract 17.42, Travis County, Texas",914,82,184,88,302,200,37,9,0,12
1400000US48453001743,48453001743,"Census Tract 17.43, Travis County, Texas",2229,240,597,226,526,367,110,99,31,33
1400000US48453001744,48453001744,"Census Tract 17.44, Travis County, Texas",3704,397,1778,191,1203,109,26,0,0,0
1400000US48453001745,48453001745,"Census Tract 17.45, Travis County, Texas",891,47,33,193,263,264,71,20,0,0
1400000US48453001746,48453001746,"Census Tract 17.46, Travis County, Texas",1546,29,469,141,749,148,0,10,0,0
1400000US48453001747,48453001747,"Census Tract 17.47, Travis County, Texas",1834,193,100,80,900,482,60,19,0,0
1400000US48453001748,48453001748,"Census Tract 17.48, Travis County, Texas",847,11,81,58,389,197,44,51,16,0
1400000US48453001749,48453001749,"Census Tract 17.49, Travis County, Texas",2197,284,747,133,755,215,31,27,0,5
1400000US48453001750,48453001750,"Census Tract 17.50, Travis County, Texas",2520,398,950,55,370,536,96,77,15,23
1400000US48453001751,48453001751,"Census Tract 17.51, Travis County, Texas",933,16,63,7,285,375,158,14,0,15
1400000US48453001752,48453001752,"Census Tract 17.52, Travis County, Texas",2517,0,62,148,581,1465,199,52,0,10
1400000US48453001753,48453001753,"Census Tract 17.53, Travis County, Texas",903,21,673,157,23,19,0,0,10,0
1400000US48453001754,48453001754,"Census Tract 17.54, Travis County, Texas",2356,6,312,177,824,966,52,19,0,0
1400000US48453001755,48453001755,"Census Tract 17.55, Travis County, Texas",1671,95,242,625,529,163,10,7,0,0
1400000US48453001756,48453001756,"Census Tract 17.56, Travis County, Texas",1801,8,18,82,752,858,47,16,10,10
1400000US48453001757,48453001757,"Census Tract 17.57, Travis County, Texas",901,8,348,127,384,26,0,8,0,0
1400000US48453001758,48453001758,"Census Tract 17.58, Travis County, Texas",1248,26,157,449,569,0,14,11,6,16
1400000US48453001759,48453001759,"Census Tract 17.59, Travis County, Texas",1518,36,338,295,595,193,46,15,0,0
1400000US48453001760,48453001760,"Census Tract 17.60, Travis County, Texas",1441,396,445,362,99,63,33,17,19,7
1400000US48453001761,48453001761,"Census Tract 17.61, Travis County, Texas",1846,218,533,510,477,43,17,39,9,0
1400000US48453001762,48453001762,"Census Tract 17.62, Travis County, Texas",4111,321,621,609,1755,575,175,10,23,22
1400000US48453001764,48453001764,"Census Tract 17.64, Travis County, Texas",2256,236,560,188,564,417,113,131,28,19
1400000US48453001765,48453001765,"Census Tract 17.65, Travis County, Texas",1833,430,395,339,215,146,168,70,70,0
1400000US48453001766,48453001766,"Census Tract 17.66, Travis County, Texas",1995,134,378,265,684,319,143,46,7,19
1400000US48453001767,48453001767,"Census Tract 17.67, Travis County, Texas",3660,215,569,269,1268,878,299,118,36,8
1400000US48453001768,48453001768,"Census Tract 17.68, Travis County, Texas",1356,50,216,233,371,308,70,34,3,71
1400000US48453001769,48453001769,"Census Tract 17.69, Travis County, Texas",1845,63,77,151,807,623,76,48,0,0
1400000US48453001804,48453001804,"Census Tract 18.04, Travis County, Texas",2498,0,7,113,474,924,510,371,66,33
1400000US48453001805,48453001805,"Census Tract 18.05, Travis County, Texas",2073,0,21,50,261,920,737,74,0,10
1400000US48453001806,48453001806,"Census Tract 18.06, Travis County, Texas",2718,0,13,211,833,814,558,228,35,26
1400000US48453001811,48453001811,"Census Tract 18.11, Travis County, Texas",1430,0,26,96,309,754,224,15,6,0
1400000US48453001812,48453001812,"Census Tract 18.12, Travis County, Texas",2675,26,65,151,1050,830,350,78,100,25
1400000US48453001813,48453001813,"Census Tract 18.13, Travis County, Texas",2192,48,216,152,999,587,144,23,0,23
1400000US48453001817,48453001817,"Census Tract 18.17, Travis County, Texas",2376,28,60,25,412,856,839,134,6,16
1400000US48453001818,48453001818,"Census Tract 18.18, Travis County, Texas",2240,49,0,0,236,503,977,405,27,43
1400000US48453001819,48453001819,"Census Tract 18.19, Travis County, Texas",1408,6,0,105,491,589,210,7,0,0
1400000US48453001820,48453001820,"Census Tract 18.20, Travis County, Texas",3098,91,62,362,1080,1090,339,33,0,41
1400000US48453001821,48453001821,"Census Tract 18.21, Travis County, Texas",1895,45,6,117,364,1174,131,48,10,0
1400000US48453001822,48453001822,"Census Tract 18.22, Travis County, Texas",2419,0,50,140,1084,918,192,28,7,0
1400000US48453001823,48453001823,"Census Tract 18.23, Travis County, Texas",2142,15,131,204,895,627,191,34,15,30
1400000US48453001824,48453001824,"Census Tract 18.24, Travis County, Texas",607,0,0,13,0,115,219,228,26,6
1400000US48453001826,48453001826,"Census Tract 18.26, Travis County, Texas",1152,171,386,76,223,221,60,15,0,0
1400000US48453001828,48453001828,"Census Tract 18.28, Travis County, Texas",1677,0,98,44,1230,295,10,0,0,0
1400000US48453001829,48453001829,"Census Tract 18.29, Travis County, Texas",1471,17,375,127,702,243,7,0,0,0
1400000US48453001832,48453001832,"Census Tract 18.32, Travis County, Texas",1192,0,23,64,277,517,224,80,7,0
1400000US48453001833,48453001833,"Census Tract 18.33, Travis County, Texas",2213,21,0,123,453,1214,306,63,0,33
1400000US48453001834,48453001834,"Census Tract 18.34, Travis County, Texas",1530,355,204,60,427,289,136,16,27,16
1400000US48453001835,48453001835,"Census Tract 18.35, Travis County, Texas",1641,0,387,60,1029,154,11,0,0,0
1400000US48453001836,48453001836,"Census Tract 18.36, Travis County, Texas",5523,383,1872,1311,1564,246,93,0,21,33
1400000US48453001837,48453001837,"Census Tract 18.37, Travis County, Texas",2794,356,1125,501,314,249,53,10,55,131
1400000US48453001839,48453001839,"Census Tract 18.39, Travis County, Texas",1239,226,320,346,347,0,0,0,0,0
1400000US48453001840,48453001840,"Census Tract 18.40, Travis County, Texas",1831,381,655,376,202,167,41,0,0,9
1400000US48453001841,48453001841,"Census Tract 18.41, Travis County, Texas",2463,221,739,640,490,223,79,6,32,33
1400000US48453001842,48453001842,"Census Tract 18.42, Travis County, Texas",1422,184,335,87,633,100,30,14,0,39
1400000US48453001843,48453001843,"Census Tract 18.43, Travis County, Texas",914,0,16,8,545,333,12,0,0,0
1400000US48453001844,48453001844,"Census Tract 18.44, Travis County, Texas",1665,0,19,164,1357,87,31,0,0,7
1400000US48453001845,48453001845,"Census Tract 18.45, Travis County, Texas",1513,0,356,100,608,322,107,0,10,10
1400000US48453001846,48453001846,"Census Tract 18.46, Travis County, Texas",850,25,152,6,383,245,16,7,16,0
1400000US48453001847,48453001847,"Census Tract 18.47, Travis County, Texas",1912,288,597,131,656,225,0,0,15,0
1400000US48453001848,48453001848,"Census Tract 18.48, Travis County, Texas",1416,27,531,208,229,359,34,28,0,0
1400000US48453001849,48453001849,"Census Tract 18.49, Travis County, Texas",2820,18,1769,730,269,11,0,11,0,12
1400000US48453001850,48453001850,"Census Tract 18.50, Travis County, Texas",2009,247,80,209,1185,228,60,0,0,0
