GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family:,Margin of Error; Family households: - Other family:,"Estimate; Family households: - Other family: - Male householder, no wife present","Margin of Error; Family households: - Other family: - Male householder, no wife present","Estimate; Family households: - Other family: - Female householder, no husband present","Margin of Error; Family households: - Other family: - Female householder, no husband present",Estimate; Nonfamily households:,Margin of Error; Nonfamily households:,Estimate; Nonfamily households: - Householder living alone,Margin of Error; Nonfamily households: - Householder living alone,Estimate; Nonfamily households: - Householder not living alone,Margin of Error; Nonfamily households: - Householder not living alone
1400000US48453001729,48453001729,"Census Tract 17.29, Travis County, Texas",2149,115,1159,188,696,187,463,172,139,121,324,142,990,197,719,167,271,159
1400000US48453001733,48453001733,"Census Tract 17.33, Travis County, Texas",1333,40,1089,89,918,109,171,91,90,75,81,47,244,80,208,77,36,24
1400000US48453001737,48453001737,"Census Tract 17.37, Travis County, Texas",4142,86,2948,225,2456,193,492,166,83,58,409,167,1194,223,1026,205,168,103
1400000US48453001738,48453001738,"Census Tract 17.38, Travis County, Texas",2724,111,1824,174,1511,189,313,142,123,95,190,97,900,187,710,163,190,99
1400000US48453001740,48453001740,"Census Tract 17.40, Travis County, Texas",1953,58,1215,128,902,128,313,107,54,35,259,110,738,117,493,116,245,109
1400000US48453001741,48453001741,"Census Tract 17.41, Travis County, Texas",1349,117,969,109,831,112,138,66,38,33,100,59,380,103,319,97,61,39
1400000US48453001742,48453001742,"Census Tract 17.42, Travis County, Texas",2263,146,1681,172,1463,201,218,114,67,68,151,97,582,175,511,167,71,48
1400000US48453001745,48453001745,"Census Tract 17.45, Travis County, Texas",1038,72,608,76,476,70,132,64,58,52,74,37,430,99,359,93,71,57
1400000US48453001746,48453001746,"Census Tract 17.46, Travis County, Texas",1857,50,864,117,578,105,286,85,60,35,226,83,993,122,749,126,244,94
1400000US48453001747,48453001747,"Census Tract 17.47, Travis County, Texas",2145,77,1313,142,876,125,437,103,214,75,223,86,832,143,456,128,376,95
