,team,year,DL,LB,OL,QB,RB,S,ST,TE,WR,nDL,nLB,nOL,nQB,nRB,nS,nST,nTE,nWR
67,BUF,2015,42651175.0,8726302.0,14646234.0,3719538.0,7722620.0,22479497.0,4250000.0,6105909.0,12647133.0,11.0,10.0,10.0,3.0,5.0,14.0,4.0,4.0,10.0
68,CAR,2015,30488297.0,17642992.0,21056590.0,15429000.0,9847396.0,10213799.0,4774670.0,8146666.0,8765172.0,11.0,6.0,11.0,3.0,4.0,12.0,3.0,3.0,8.0
69,CHI,2015,5069862.0,21899436.0,17474343.0,16680000.0,11349751.0,15760206.0,4289856.0,7395294.0,12622874.0,10.0,10.0,11.0,2.0,5.0,15.0,3.0,4.0,8.0
70,CIN,2015,25889277.0,20551658.0,25617076.0,10232177.0,3816370.0,24895039.0,5620000.0,3336771.0,18593745.0,10.0,7.0,9.0,3.0,4.0,10.0,3.0,3.0,6.0
71,CLE,2015,15212170.0,23383953.0,27050053.0,7110424.0,1650149.0,35266057.0,2920000.0,4770590.0,14792088.0,7.0,9.0,10.0,5.0,4.0,13.0,3.0,4.0,10.0
72,DAL,2015,13316114.0,13062545.0,17538333.0,17021822.0,3270822.0,29398454.0,4620000.0,8395213.0,11389281.0,12.0,9.0,11.0,4.0,4.0,11.0,3.0,4.0,8.0
73,DEN,2015,9668461.0,24214482.0,24590272.0,19067139.0,2043041.0,24790199.0,3705000.0,7901142.0,22970875.0,7.0,9.0,12.0,3.0,3.0,11.0,3.0,4.0,7.0
74,DET,2015,24158406.0,13532361.0,10376888.0,18386250.0,5554369.0,13806147.0,2727575.0,7590223.0,25365800.0,14.0,6.0,11.0,2.0,5.0,12.0,3.0,5.0,5.0
75,GB,2015,23220914.0,22351365.0,20877161.0,19940908.0,3463515.0,23998689.0,5917426.0,3216625.0,12310038.0,7.0,9.0,9.0,3.0,4.0,11.0,4.0,4.0,6.0
76,HOU,2015,20468701.0,21362164.0,22668612.0,6242777.0,10757350.0,27883144.0,3503848.0,5367312.0,6312693.0,6.0,11.0,12.0,4.0,5.0,13.0,3.0,4.0,6.0
77,IND,2015,14964714.0,32401347.0,14023046.0,11109361.0,5517057.0,26817692.0,7250000.0,4028029.0,13027778.0,9.0,13.0,8.0,6.0,5.0,14.0,3.0,4.0,5.0
78,JAC,2015,34341576.0,13270874.0,24747232.0,8194275.0,6203123.0,14758836.0,1896314.0,16441470.0,6811239.0,12.0,7.0,10.0,2.0,7.0,11.0,3.0,5.0,9.0
79,KC,2015,11290693.0,21681882.0,16469373.0,21476940.0,9577339.0,24377775.0,4745666.0,2227212.0,5994468.0,7.0,10.0,12.0,4.0,4.0,11.0,3.0,4.0,6.0
80,LAC,2015,13127103.0,15133828.0,18861124.0,22989168.0,7223075.0,21799024.0,5666666.0,10647577.0,8371558.0,8.0,13.0,12.0,2.0,5.0,13.0,3.0,6.0,6.0
