state00,county00,tract00,geoid00,pop00,hu00,part00,area00,arealand00,state10,county10,tract10,geoid10,pop10,hu10,part10,area10,arealand10,areaapt,arealandpt,areapct00pt,arealandpct00pt,areapct10pt,arealandpct10pt,pop10pt,poppct00,poppct10,hu10pt,hupct00,hupct10
48,007,950500,48007950500,6308,3806,P,221808089,152434783,48,007,950100,48007950100,5495,4448,P,942018987,474924150,3030,1630,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,007,950500,48007950500,6308,3806,P,221808089,152434783,48,007,950500,48007950500,6308,3806,W,221805059,152433153,221805059,152433153,100.00,100.00,100.00,100.00,6308,100.00,100.00,3806,100.00,100.00
48,009,020100,48009020100,2660,1069,W,183401377,178512889,48,009,020100,48009020100,2660,1069,W,183401377,178512889,183401377,178512889,100.00,100.00,100.00,100.00,2660,100.00,100.00,1069,100.00,100.00
48,009,020200,48009020200,2780,1452,W,1355604262,1317217429,48,009,020200,48009020200,2780,1452,P,1359020823,1318338737,1355604262,1317217429,100.00,100.00,99.75,99.91,2780,100.00,100.00,1452,100.00,100.00
48,009,020300,48009020300,3614,1586,P,857815563,843313290,48,009,020200,48009020200,2780,1452,P,1359020823,1318338737,3416561,1121308,0.40,0.13,0.25,0.09,0,0.00,0.00,0,0.00,0.00
48,009,020300,48009020300,3614,1586,P,857815563,843313290,48,009,020300,48009020300,3614,1586,W,854399002,842191982,854399002,842191982,99.60,99.87,100.00,100.00,3614,100.00,100.00,1586,100.00,100.00
48,011,950100,48011950100,1901,904,P,2366801758,2354581907,48,011,950100,48011950100,1901,904,W,2366801637,2354581881,2366801637,2354581881,100.00,100.00,100.00,100.00,1901,100.00,100.00,904,100.00,100.00
48,011,950100,48011950100,1901,904,P,2366801758,2354581907,48,437,950200,48437950200,2016,690,P,1487569663,1469240601,121,26,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,013,960100,48013960100,6972,2982,W,974135550,972591484,48,013,960100,48013960100,6972,2982,W,974135550,972591484,974135550,972591484,100.00,100.00,100.00,100.00,6972,100.00,100.00,2982,100.00,100.00
48,013,960201,48013960201,6239,2272,P,224621470,224515449,48,013,960201,48013960201,6234,2271,W,224616354,224510333,224616354,224510333,100.00,100.00,100.00,100.00,6234,99.92,100.00,2271,99.96,100.00
48,013,960201,48013960201,6239,2272,P,224621470,224515449,48,325,000402,48325000402,4107,1656,P,198992705,197683832,5116,5116,0.00,0.00,0.00,0.00,5,0.08,0.12,1,0.04,0.06
48,013,960202,48013960202,9342,3397,W,323572602,323458076,48,013,960202,48013960202,9342,3397,W,323572602,323458076,323572602,323458076,100.00,100.00,100.00,100.00,9342,100.00,100.00,3397,100.00,100.00
48,013,960300,48013960300,3595,1315,W,22674825,22571529,48,013,960300,48013960300,3595,1315,W,22674825,22571529,22674825,22571529,100.00,100.00,100.00,100.00,3595,100.00,100.00,1315,100.00,100.00
48,013,960401,48013960401,2294,852,W,53015275,52999054,48,013,960401,48013960401,2294,852,W,53015275,52999054,53015275,52999054,100.00,100.00,100.00,100.00,2294,100.00,100.00,852,100.00,100.00
48,013,960402,48013960402,7801,3111,W,57009405,56958247,48,013,960402,48013960402,7801,3111,W,57009405,56958247,57009405,56958247,100.00,100.00,100.00,100.00,7801,100.00,100.00,3111,100.00,100.00
48,013,960500,48013960500,2684,1183,P,712314874,711566937,48,013,960500,48013960500,2684,1183,W,693605372,692944004,693605372,692944004,97.37,97.38,100.00,100.00,2684,100.00,100.00,1183,100.00,100.00
48,013,960500,48013960500,2684,1183,P,712314874,711566937,48,013,960600,48013960600,5989,2520,P,814971268,812572161,278541,278541,0.04,0.04,0.03,0.03,0,0.00,0.00,0,0.00,0.00
48,013,960500,48013960500,2684,1183,P,712314874,711566937,48,311,950100,48311950100,707,485,P,2996060203,2951100162,18430961,18344392,2.59,2.58,0.62,0.62,0,0.00,0.00,0,0.00,0.00
48,013,960600,48013960600,5989,2520,P,833494406,830896362,48,013,960600,48013960600,5989,2520,P,814971268,812572161,814692727,812293620,97.74,97.76,99.97,99.97,5989,100.00,100.00,2520,100.00,100.00
48,013,960600,48013960600,5989,2520,P,833494406,830896362,48,311,950100,48311950100,707,485,P,2996060203,2951100162,18801679,18602742,2.26,2.24,0.63,0.63,0,0.00,0.00,0,0.00,0.00
48,015,760100,48015760100,2400,1089,P,178158028,175935630,48,015,760100,48015760100,2400,1087,P,177721255,175464108,177241061,175258423,99.49,99.62,99.73,99.88,2400,100.00,100.00,1087,99.82,100.00
48,015,760100,48015760100,2400,1089,P,178158028,175935630,48,157,673200,48157673200,5677,2038,P,123394009,119343079,410082,197152,0.23,0.11,0.33,0.17,0,0.00,0.00,0,0.00,0.00
48,015,760100,48015760100,2400,1089,P,178158028,175935630,48,157,673300,48157673300,4699,1875,P,126575808,121681747,24427,381,0.01,0.00,0.02,0.00,0,0.00,0.00,0,0.00,0.00
48,015,760100,48015760100,2400,1089,P,178158028,175935630,48,157,675800,48157675800,3392,1433,P,326251342,321631629,482458,479674,0.27,0.27,0.15,0.15,0,0.00,0.00,2,0.18,0.14
48,015,760200,48015760200,6032,2430,P,154539169,150558058,48,015,760100,48015760100,2400,1087,P,177721255,175464108,20272,0,0.01,0.00,0.01,0.00,0,0.00,0.00,0,0.00,0.00
48,015,760200,48015760200,6032,2430,P,154539169,150558058,48,015,760200,48015760200,6032,2430,P,154861788,150814965,154420302,150547761,99.92,99.99,99.71,99.82,6032,100.00,100.00,2430,100.00,100.00
48,015,760200,48015760200,6032,2430,P,154539169,150558058,48,157,673200,48157673200,5677,2038,P,123394009,119343079,98595,10297,0.06,0.01,0.08,0.01,0,0.00,0.00,0,0.00,0.00
48,015,760300,48015760300,7033,2967,W,363300158,357997180,48,015,760300,48015760300,7037,2970,P,364870940,359546750,363300158,357997180,100.00,100.00,99.57,99.57,7033,100.00,99.94,2967,100.00,99.90
48,015,760400,48015760400,3664,2175,P,498793720,493785293,48,015,760300,48015760300,7037,2970,P,364870940,359546750,1570782,1549570,0.31,0.31,0.43,0.43,4,0.11,0.06,3,0.14,0.10
48,015,760400,48015760400,3664,2175,P,498793720,493785293,48,015,760400,48015760400,3660,2172,P,497246617,492258408,497222938,492235723,99.69,99.69,100.00,100.00,3660,99.89,100.00,2172,99.86,100.00
48,015,760500,48015760500,9288,4267,P,505415929,496442083,48,015,760200,48015760200,6032,2430,P,154861788,150814965,10857,0,0.00,0.00,0.01,0.00,0,0.00,0.00,0,0.00,0.00
48,015,760500,48015760500,9288,4267,P,505415929,496442083,48,015,760501,48015760501,4184,1949,P,288089228,284287715,288088847,284287334,57.00,57.26,100.00,100.00,4184,45.05,100.00,1949,45.68,100.00
48,015,760500,48015760500,9288,4267,P,505415929,496442083,48,015,760502,48015760502,5104,2318,W,217236266,212076953,217236266,212076953,42.98,42.72,100.00,100.00,5104,54.95,100.00,2318,54.32,100.00
48,015,760500,48015760500,9288,4267,P,505415929,496442083,48,477,170400,48477170400,6079,2427,P,81679536,80820382,79959,77796,0.02,0.02,0.10,0.10,0,0.00,0.00,0,0.00,0.00
48,017,950100,48017950100,7165,2784,W,2143166601,2141394831,48,017,950100,48017950100,7165,2784,W,2143166601,2141394831,2143166601,2141394831,100.00,100.00,100.00,100.00,7165,100.00,100.00,2784,100.00,100.00
48,019,980100,48019980100,9243,4699,P,554564615,551807681,48,019,000101,48019000101,4330,2149,W,228713249,227817149,228713249,227817149,41.24,41.29,100.00,100.00,4330,46.85,100.00,2149,45.73,100.00
48,019,980100,48019980100,9243,4699,P,554564615,551807681,48,019,000102,48019000102,4913,2550,W,325845971,323985137,325845971,323985137,58.76,58.71,100.00,100.00,4913,53.15,100.00,2550,54.27,100.00
48,019,980100,48019980100,9243,4699,P,554564615,551807681,48,019,000200,48019000200,2726,1898,P,1235866996,1232846178,5395,5395,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,019,980200,48019980200,2726,1898,W,1235861601,1232840783,48,019,000200,48019000200,2726,1898,P,1235866996,1232846178,1235861601,1232840783,100.00,100.00,100.00,100.00,2726,100.00,100.00,1898,100.00,100.00
48,019,980300,48019980300,6369,3249,W,245860479,242926232,48,019,000300,48019000300,6369,3249,W,245860479,242926232,245860479,242926232,100.00,100.00,100.00,100.00,6369,100.00,100.00,3249,100.00,100.00
48,019,980400,48019980400,2147,1715,W,29580571,21004169,48,019,000400,48019000400,2147,1715,W,29580571,21004169,29580571,21004169,100.00,100.00,100.00,100.00,2147,100.00,100.00,1715,100.00,100.00
48,021,950100,48021950100,8608,3484,P,394628616,391775723,48,021,950100,48021950100,8608,3484,P,394630437,391777544,394626084,391773191,100.00,100.00,100.00,100.00,8608,100.00,100.00,3484,100.00,100.00
48,021,950100,48021950100,8608,3484,P,394628616,391775723,48,021,950200,48021950200,7955,2925,P,37095368,37063926,1295,1295,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,021,950100,48021950100,8608,3484,P,394628616,391775723,48,021,950501,48021950501,8008,2498,P,164375101,163538377,1237,1237,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,021,950200,48021950200,7955,2925,P,37096459,37065017,48,021,950100,48021950100,8608,3484,P,394630437,391777544,2386,2386,0.01,0.01,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,021,950200,48021950200,7955,2925,P,37096459,37065017,48,021,950200,48021950200,7955,2925,P,37095368,37063926,37094073,37062631,99.99,99.99,100.00,100.00,7955,100.00,100.00,2925,100.00,100.00
48,021,950300,48021950300,12927,5181,P,351314885,347684109,48,021,950300,48021950300,12927,5181,P,351317216,347682990,351313766,347682990,100.00,100.00,100.00,100.00,12927,100.00,100.00,5181,100.00,100.00
48,021,950300,48021950300,12927,5181,P,351314885,347684109,48,021,950801,48021950801,6520,2111,P,140389371,140206327,1119,1119,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,021,950400,48021950400,7984,3474,P,45606240,44912738,48,021,950400,48021950400,7984,3474,P,45798578,44912738,45602628,44912738,99.99,100.00,99.57,100.00,7984,100.00,100.00,3474,100.00,100.00
48,021,950400,48021950400,7984,3474,P,45606240,44912738,48,021,950502,48021950502,6409,2958,P,349245567,343812167,3612,0,0.01,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,021,950500,48021950500,14417,5456,P,513811769,507349307,48,021,950400,48021950400,7984,3474,P,45798578,44912738,195950,0,0.04,0.00,0.43,0.00,0,0.00,0.00,0,0.00,0.00
48,021,950500,48021950500,14417,5456,P,513811769,507349307,48,021,950501,48021950501,8008,2498,P,164375101,163538377,164373864,163537140,31.99,32.23,100.00,100.00,8008,55.55,100.00,2498,45.78,100.00
48,021,950500,48021950500,14417,5456,P,513811769,507349307,48,021,950502,48021950502,6409,2958,P,349245567,343812167,349241955,343812167,67.97,67.77,100.00,100.00,6409,44.45,100.00,2958,54.22,100.00
48,021,950600,48021950600,5184,2565,P,633789061,629546020,48,021,950300,48021950300,12927,5181,P,351317216,347682990,3450,0,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00,0.00
48,021,950600,48021950600,5184,2565,P,633789061,629546020,48,021,950600,48021950600,5184,2565,W,633752256,629512665,633752256,629512665,99.99,99.99,100.00,100.00,5184,100.00,100.00,2565,100.00,100.00
48,021,950600,48021950600,5184,2565,P,633789061,629546020,48,021,950700,48021950700,4189,1912,P,26274734,25449517,33355,33355,0.01,0.01,0.13,0.13,0,0.00,0.00,0,0.00,0.00
48,021,950700,48021950700,4189,1912,W,26241379,25416162,48,021,950700,48021950700,4189,1912,P,26274734,25449517,26241379,25416162,100.00,100.00,99.87,99.87,4189,100.00,100.00,1912,100.00,100.00
48,021,950800,48021950800,12907,4319,P,316963415,316547768,48,021,950801,48021950801,6520,2111,P,140389371,140206327,140388252,140205208,44.29,44.29,100.00,100.00,6520,50.52,100.00,2111,48.88,100.00
48,021,950800,48021950800,12907,4319,P,316963415,316547768,48,021,950802,48021950802,6387,2208,W,176575163,176342560,176575163,176342560,55.71,55.71,100.00,100.00,6387,49.48,100.00,2208,51.12,100.00
48,023,950100,48023950100,627,1008,W,2222300069,2136273887,48,023,950300,48023950300,3726,2665,P,2333750374,2246766775,2222300069,2136273887,100.00,100.00,95.22,95.08,627,100.00,16.83,1008,100.00,37.82
48,023,950200,48023950200,3099,1657,W,111450305,110492888,48,023,950300,48023950300,3726,2665,P,2333750374,2246766775,111450305,110492888,100.00,100.00,4.78,4.92,3099,100.00,83.17,1657,100.00,62.18
48,025,950100,48025950100,2002,1023,W,601941784,601829071,48,025,950100,48025950100,2002,1023,W,601941784,601829071,601941784,601829071,100.00,100.00,100.00,100.00,2002,100.00,100.00,1023,100.00,100.00
48,025,950200,48025950200,12987,2649,P,1238980197,1238910066,48,025,950201,48025950201,7928,365,W,388168296,388154525,388168296,388154525,31.33,31.33,100.00,100.00,7928,61.05,100.00,365,13.78,100.00
48,025,950200,48025950200,12987,2649,P,1238980197,1238910066,48,025,950202,48025950202,5059,2284,W,850811901,850755541,850811901,850755541,68.67,68.67,100.00,100.00,5059,38.95,100.00,2284,86.22,100.00
48,025,950300,48025950300,5093,2208,W,10586538,10586538,48,025,950300,48025950300,5093,2208,P,10619340,10619340,10586538,10586538,100.00,100.00,99.69,99.69,5093,100.00,100.00,2208,100.00,100.00
48,025,950400,48025950400,2006,925,P,4757907,4757907,48,025,950300,48025950300,5093,2208,P,10619340,10619340,32802,32802,0.69,0.69,0.31,0.31,0,0.00,0.00,0,0.00,0.00
